author,commits,added,deleted,files,bugfix_commits,avg_files_per_commit,avg_lines_per_commit,weekend_rate,experience,score,tier,salary_adjustment
 Sean Reifschneider,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Jerry Baker,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 fmw,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Dag Odenhall,13,56,0,0,5,0.0,4.31,0.62,12,0.03182427004350166,2,0.12
 Ivo Danihelka,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Daniel Gerber,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Jason Davies,1,17,17,0,0,0.0,34.0,1.0,0,0.054113921510089945,1,0.15
 Georg Brandl,3,24,24,0,2,0.0,16.0,0.67,2,0.03509269645313374,2,0.12
 doobeh,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Daniel D. Beck,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Francisco Souza,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Daniel Haaker,5,2,2,0,0,0.0,0.8,0.0,4,0.0007512408617752259,3,0.08
 Nick Walker,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Jeff Weber,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 agentultra,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Heungsub Lee,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Zhao Xiaohong,3,0,0,0,3,0.0,0.0,0.33,2,0.015788024672784718,2,0.12
 jgraeme,3,33,33,0,2,0.0,22.0,0.0,2,0.0023271905852974887,3,0.08
 Stephane Wirtel,2,0,0,0,1,0.0,0.0,0.0,1,-0.00018297728298480523,6,-0.1
 Aku Kotkavuo,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 florentx,16,84,58,0,5,0.0,8.88,0.06,15,0.0049028237268479,3,0.08
 Ali Afshar,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Thomas Schranz,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Marcus Fredriksson,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Justin Quick,5,1652,47,0,0,0.0,339.8,0.0,4,0.04386880315648545,2,0.12
 Adam Zapletal,5,16,16,0,5,0.0,6.4,0.0,4,-0.00028539430333091487,6,-0.1
 Christopher Grebs,3,2,1,0,3,0.0,1.0,1.0,2,0.04941114936008904,2,0.12
 Matt Campbell,5,54,54,0,0,0.0,21.6,1.0,4,0.053326981528800665,1,0.15
 Andre Wobst,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Marian Sigler,2,0,0,0,1,0.0,0.0,0.0,1,-0.00018297728298480523,6,-0.1
 unknown,2,33,3,0,1,0.0,18.0,0.0,1,0.0020290130968308104,3,0.08
 Sebastien Estienne,3,76,17,0,0,0.0,31.0,1.0,2,0.054162804224045874,1,0.15
 cgrinds,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Chris Edgemon,1,58,58,0,0,0.0,116.0,0.0,0,0.014035732210895099,2,0.12
 moraes,1,4,4,0,1,0.0,8.0,0.0,0,0.0006219607705401941,3,0.08
